0,1
1,2
2,2
3,2
4,1
5,1
6,1
7,1
8,2
9,0
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,3
19,2
20,1
21,1
22,2
23,2
24,1
25,3
26,1
27,3
28,1
29,2
30,2
31,2
32,2
33,2
34,1
35,1
36,1
37,3
38,1
39,3
40,2
41,2
42,1
43,2
44,4
45,2
46,4
47,3
48,1
49,2
50,4
51,4
52,1
53,1
54,3
55,2
56,2
57,2
58,3
59,1
60,1
61,2
62,2
63,4
64,4
65,2
66,1
67,0
68,2
69,2
70,2
71,2
72,2
73,2
74,1
75,3
76,2
77,2
78,1
79,4
80,2
81,2
82,1
83,1
84,1
85,2
86,2
87,1
88,2
89,1
90,2
91,1
92,4
93,3
94,2
95,2
96,2
97,1
98,1
99,2
100,0
101,3
102,3
103,2
104,2
105,2
106,2
107,3
108,1
109,2
110,1
111,2
112,1
113,1
114,2
115,1
116,1
117,2
118,3
119,4
120,2
121,3
122,2
123,2
124,2
125,2
126,3
127,1
128,1
129,2
130,1
131,0
132,2
133,2
134,2
135,0
136,2
137,3
138,0
139,2
140,2
141,2
142,2
143,0
144,3
145,2
146,3
147,4
148,1
149,1
150,1
151,0
152,1
153,2
154,2
155,2
156,4
157,4
158,1
159,4
160,3
161,4
162,2
163,2
164,2
165,4
166,2
167,1
168,2
169,2
170,2
171,2
172,2
173,3
174,2
175,3
176,3
177,2
178,3
179,3
180,2
181,1
182,2
183,0
184,4
185,2
186,4
187,0
188,1
189,1
190,2
191,1
192,3
193,2
194,2
195,2
196,1
197,3
198,4
199,1
200,1
201,1
202,2
203,2
204,1
205,1
206,1
207,1
208,1
209,2
210,3
211,2
212,4
213,2
214,1
215,1
216,2
217,1
218,3
219,3
220,2
221,2
222,1
223,3
224,1
225,2
226,2
227,2
228,1
229,2
230,2
231,4
232,2
233,1
234,2
235,2
236,2
237,2
238,2
239,2
240,3
241,2
242,1
243,1
244,4
245,1
246,2
247,2
248,2
249,1
250,2
