0,3
1,0
2,2
3,3
4,1
5,3
6,0
7,0
8,3
9,0
10,3
11,3
12,3
13,3
14,3
15,1
16,3
17,3
18,0
19,3
20,0
21,3
22,3
23,3
24,3
25,3
26,3
27,0
28,2
29,3
30,3
31,1
32,3
33,1
34,1
35,2
36,3
37,3
38,3
39,0
40,1
41,0
42,3
43,3
44,3
45,2
46,2
47,0
48,3
49,0
50,3
51,3
52,3
53,3
54,3
55,0
56,2
57,2
58,1
59,1
60,1
61,3
62,3
63,3
64,3
65,0
66,3
67,3
68,3
69,1
70,3
71,3
72,1
73,1
74,3
75,0
76,3
77,0
78,3
79,1
80,3
81,2
82,1
83,2
84,1
85,3
86,3
87,0
88,3
89,3
90,3
91,0
92,3
93,3
94,1
95,3
96,3
97,3
98,1
99,0
100,0
101,1
102,3
103,3
104,0
105,1
106,3
107,2
108,3
109,3
110,0
111,3
112,0
113,0
114,3
115,3
116,1
117,3
118,3
119,3
120,0
121,3
122,0
123,3
124,2
125,1
126,2
127,3
128,3
129,0
130,1
131,3
132,1
133,3
134,1
135,3
136,3
137,0
138,3
139,2
140,3
141,3
142,3
143,3
144,3
145,3
146,2
147,3
148,1
149,3
150,1
151,3
152,3
153,3
154,3
155,0
156,2
157,0
158,2
159,3
160,3
161,1
162,3
163,0
164,3
165,3
166,2
167,0
168,3
169,3
170,1
171,3
172,2
173,0
174,3
175,0
176,1
177,3
178,3
179,1
180,3
181,3
